Rank Name Federation BirthYear Rating RD
1 Assaubayeva, Bibisara	KAZ 2004 2407.99 56.15
2 Salimova, Nurgyul	BUL 2003 2225.44 74.36
3 Omonova, Umida	UZB 2006 2161.64 56.75
4 Kamalidenova, Meruert	KAZ 2005 2161.38 54.25
5 Divya Deshmukh	IND 2005 2151.96 54.36
6 Francisco Guecamburu, Candela Be	ARG 2006 2143.31 66.65
7 Sinitsina, Anastassia	EST 2004 2128.16 49.05
8 Schippke, Manon	FRA 2007 2115.90 65.39
9 Garifullina, Leya	FID 2004 2111.13 53.22
10 Yakimova, Mariya	FID 2005 2094.68 54.11
11 Lu, Miaoyi	CHN 2010 2091.30 51.10
12 Nurmanova, Alua	KAZ 2007 2089.20 46.47
13 Rakshitta Ravi	IND 2005 2080.89 63.68
14 Khamdamova, Afruza	UZB 2009 2079.17 65.06
15 Sahithi Varshini M	IND 2007 2051.67 67.74
16 Savitha Shri B	IND 2007 2047.14 57.06
17 Solozhenkina, Elizaveta	RUS 2003 2045.47 69.68
18 Srdanovic, Jovana	SRB 2003 2044.52 44.48
19 Beydullayeva, Govhar	AZE 2003 2037.83 64.41
20 Kirdyashkina, Ekaterina	RUS 2008 2036.65 51.31
21 Kleymenova, Valeria	RUS 2008 2035.33 69.72
22 Zhurova, Anna	RUS 2005 2033.05 49.39
23 Yurasova, Daria	RUS 2003 2019.68 52.72
24 Kanyamarala, Trisha	IRL 2005 2016.79 58.05
25 Balabayeva, Xeniya	KAZ 2005 2015.42 49.36
26 Kurmangaliyeva, Liya	KAZ 2005 2013.98 55.06
27 Getman, Tatyana	RUS 2003 2012.72 60.01
28 Czarnecka, Lidia	POL 2004 2012.13 56.28
29 Pipiras, Filipa Fortuna	POR 2005 2009.76 59.29
30 Nguyen Hong Nhung	VIE 2006 2005.18 53.72
31 Shubenkova, Veronika	RUS 2007 1998.78 63.05
32 Ivanytska, Liudmyla	UKR 2007 1998.12 44.60
33 Shvedova, Alexandra	FID 2008 1997.37 56.51
34 Tarasenka, Aliaksandra	BLR 2006 1992.10 73.64
35 Donate Moreno, Silvia	ESP 2005 1991.75 71.77
36 Goraj, Barbara	POL 2005 1990.00 63.43
37 Mkrtchyan, Mariam	ARM 2004 1984.37 73.12
38 Hrebenshchykova, Yelyzaveta	UKR 2005 1979.62 54.21
39 Nurgaliyeva, Zarina	KAZ 2009 1979.20 40.82
40 Poliakova, Varvara	FID 2005 1978.49 59.82
41 Zeliantsova, Kseniya	FID 2005 1977.99 57.20
42 Shukhman, Anna	FID 2009 1977.74 60.54
43 Nurgali, Nazerke	KAZ 2004 1977.48 57.14
44 Obregon Garcia, Roxangel	CUB 2003 1977.10 54.32
45 Bayasgalan, Khishigbaatar	MGL 2007 1972.64 68.93
46 Galvan Cipriani, Viviana	ESP 2004 1972.26 54.35
47 Hryzlova, Sofiia	SUI 2004 1970.84 64.90
48 Nasyrova, Ekaterina	RUS 2005 1969.57 60.00
49 Wikar, Martyna	POL 2005 1965.58 65.04
50 Dubnikova, Anastasia	RUS 2004 1965.40 67.73
51 Starosta, Martyna	POL 2006 1962.29 59.63
52 Babic, Milana	BIH 2008 1959.67 46.78
53 Malicka, Maria	POL 2003 1958.63 53.94
54 Bhagyashree Patil	IND 2005 1958.60 74.52
55 Demeter, Dorina	HUN 2005 1957.89 71.54
56 Loskutova, Viktoriya	RUS 2004 1952.96 64.63
57 Jimenez Fernandez, Rebeca	ESP 2004 1951.69 59.50
58 Sultanbek, Zeinep	KAZ 2004 1951.06 52.28
59 Rodriguez Redondo, Adhara	ESP 2004 1950.29 54.03
60 Kheerthi Ganta	IND 2007 1946.27 56.55
61 Canino, Ruelle	PHI 2008 1943.83 74.33
62 Kuznetsova, Marina	RUS 2006 1941.77 49.51
63 Kairbekova, Amina	KAZ 2006 1937.04 47.43
64 Babic, Masa	BIH 2008 1935.46 48.45
65 Kirtadze, Anastasia	GEO 2009 1933.37 55.79
66 Wang, Minqing	GER 2004 1932.74 58.75
67 Miroshnik, Ekaterina	RUS 2003 1926.88 58.11
68 Dylag, Emilia	POL 2004 1926.07 68.44
69 Esadze, Tamari	GEO 2003 1925.66 71.73
70 Kirchei, Viktoriia	RUS 2005 1923.24 64.05
71 Petrova, Elizaveta	RUS 2007 1922.73 31.97
72 Gunawardhana, Devindya Oshini	SRI 2012 1920.93 61.62
73 Nur-Mukhametova, Alisa	RUS 2005 1919.64 45.99
74 Vega Paucar, Emely Bachellet	PER 2006 1917.02 66.12
75 Jarocka, Liwia	POL 2003 1916.77 65.69
76 Ciolacu, Alessia-Mihaela	ROU 2004 1916.38 72.43
77 Lyutsinger, Iren	FID 2009 1915.99 33.26
78 Femil Chelladurai	IND 2005 1914.30 67.20
79 Hercog, Nusa	SLO 2003 1913.53 64.34
80 Ter-Avetisjana, Agnesa Stepania	LAT 2007 1912.74 52.78
81 Lobo Pereira, Arami	ESP 2007 1909.90 59.14
82 Chervyakova, Tatiana	RUS 2006 1909.26 44.34
83 Vanduyfhuys, Daria	BEL 2003 1908.02 65.20
84 Karmanova, Olga Dm.	RUS 2007 1906.82 50.47
85 Kuznecova, Marija	LAT 2010 1906.72 48.10
86 Contreras Huaman, Fiorella	PER 2007 1906.62 55.36
87 Frolova, Lada	RUS 2005 1906.47 59.24
88 Smietanska, Wiktoria	POL 2010 1902.98 43.62
89 Manko, Mariia	SUI 2007 1902.58 67.87
90 Tomasi, Elise	FRA 2004 1901.34 73.97
91 Nguyen, Thien Ngan	VIE 2005 1897.01 56.56
92 Estevez Sacristan, Deva	ESP 2004 1894.95 70.00
93 Bosco, Giuliana	ARG 2004 1894.68 57.15
94 Hernandez Gil, Ineymig	CUB 2004 1893.20 62.31
95 Mikic, Ivana	BIH 2003 1892.51 46.29
96 Tsotsonava, Elene	GEO 2005 1891.94 55.57
97 Bodnaruk, Kseniya	FID 2005 1891.59 49.98
98 Khmeleva, Anna	RUS 2008 1890.90 45.16
99 Kostornichenko, Yana	RUS 2006 1890.59 71.48
100 Moncada Correa, Sara	COL 2004 1889.52 62.25
