Rank Name Federation BirthYear Rating RD
1 Kosteniuk, Alexandra	SUI 1984 2445.03 71.26
2 Abdumalik, Zhansaya	KAZ 2000 2407.66 69.41
3 Saduakassova, Dinara	KAZ 1996 2396.12 74.76
4 Lagno, Kateryna	RUS 1989 2387.33 71.77
5 Hou, Yifan	CHN 1994 2384.85 67.36
6 Assaubayeva, Bibisara	KAZ 2004 2374.11 66.63
7 Dzagnidze, Nana	GEO 1987 2373.93 58.96
8 Koneru, Humpy	IND 1987 2373.89 72.68
9 Dronavalli, Harika	IND 1991 2351.44 68.68
10 Gunina, Valentina	FID 1989 2327.01 62.53
11 Cramling, Pia	SWE 1963 2312.66 61.76
12 Paehtz, Elisabeth	GER 1985 2307.66 71.45
13 Ushenina, Anna	UKR 1985 2306.22 68.89
14 Arabidze, Meri	GEO 1994 2298.12 62.72
15 Stefanova, Antoaneta	BUL 1979 2280.43 61.88
16 Bulmaga, Irina	ROU 1993 2280.24 56.22
17 Milliet, Sophie	FRA 1983 2276.40 73.13
18 Kashlinskaya, Alina	POL 1993 2275.61 69.71
19 Girya, Olga	RUS 1991 2273.40 61.14
20 Batsiashvili, Nino	GEO 1987 2272.73 66.11
21 Maltsevskaya, Aleksandra	POL 2002 2271.27 55.27
22 Shuvalova, Polina	RUS 2001 2260.68 57.57
23 Berend, Elvira	LUX 1965 2257.07 68.90
24 Voit, Daria	RUS 1994 2253.09 52.70
25 Charochkina, Daria	RUS 1990 2251.99 71.66
26 Narva, Mai	EST 1999 2246.98 58.82
27 Zimina, Olga	ITA 1982 2241.21 69.83
28 Terao, Juliana Sayumi	BRA 1991 2236.47 74.39
29 Garifullina, Leya	FID 2004 2234.50 66.27
30 Kiolbasa, Oliwia	POL 2000 2219.01 53.05
31 Socko, Monika	POL 1978 2218.61 56.97
32 Mammadova, Gulnar	AZE 1991 2208.03 72.21
33 Javakhishvili, Lela	GEO 1984 2206.92 73.13
34 Zatonskih, Anna	USA 1978 2203.53 63.63
35 Salimova, Nurgyul	BUL 2003 2196.53 69.28
36 Injac, Teodora	SRB 2000 2193.85 56.75
37 Osmak, Yuliia	UKR 1998 2193.57 59.63
38 Cyfka, Karina	POL 1987 2184.15 66.29
39 Potapova, Margarita	RUS 2000 2183.82 44.19
40 Goltseva, Ekaterina	RUS 2002 2180.82 52.24
41 Mammadzada, Gunay	AZE 2000 2171.88 64.24
42 Iglesias, Yosha	FRA 1987 2171.06 56.63
43 Zawadzka, Jolanta	POL 1987 2170.96 56.99
44 Vega Gutierrez, Sabrina	ESP 1987 2169.92 65.19
45 Kovanova, Baira	RUS 1987 2155.18 50.67
46 Sinitsina, Anastassia	EST 2004 2151.36 56.14
47 Bodnaruk, Anastasia	RUS 1992 2148.71 61.47
48 Lysenko, Margarita	RUS 1999 2146.38 49.85
49 Buksa, Nataliya	UKR 1996 2146.05 70.64
50 Bivol, Alina	FID 1996 2144.92 60.72
51 Navrotescu, Andreea	FRA 1996 2144.89 61.47
52 Gevorgyan, Maria	ARM 1994 2144.53 74.69
53 Antolak, Julia	POL 2000 2142.58 52.98
54 Kulon, Klaudia	POL 1992 2142.05 60.09
55 Bosc, Seraphina	FRA 2002 2141.51 46.84
56 Savina, Anastasia	FRA 1992 2139.47 64.71
57 Schulze, Lara	GER 2002 2138.58 69.32
58 Sliwicka, Alicja	POL 2001 2137.82 56.18
59 Kubicka, Anna	POL 1999 2135.22 56.81
60 Savitha Shri B	IND 2007 2130.58 56.93
61 Janzelj, Lara	SLO 1997 2127.07 62.08
62 Nurmanova, Alua	KAZ 2007 2125.21 52.57
63 Doluhanova, Evgeniya	UKR 1984 2120.39 65.32
64 Toncheva, Nadya	BUL 2005 2117.19 70.15
65 Leconte, Maria	FRA 1970 2117.18 63.46
66 Korneva, Marina	RUS 1986 2117.15 44.77
67 Alexieva, Silvia	FRA 1974 2117.10 61.90
68 Badelka, Olga	FID 2002 2115.78 63.93
69 Cosma, Elena-Luminita	ROU 1972 2114.91 56.78
70 Efroimski, Marsel	ISR 1995 2113.61 74.63
71 Sharma Isha	IND 2000 2111.70 74.75
72 Kamalidenova, Meruert	KAZ 2005 2108.95 64.29
73 Gvetadze, Sofio	GEO 1983 2108.61 69.77
74 Lu, Miaoyi	CHN 2010 2106.78 62.59
75 Omonova, Umida	UZB 2006 2105.88 61.72
