Rank Name Federation BirthYear Rating RD
1 Assaubayeva, Bibisara	KAZ 2004 2358.67 53.21
2 Salimova, Nurgyul	BUL 2003 2278.02 52.26
3 Divya Deshmukh	IND 2005 2275.50 48.05
4 Garifullina, Leya	FID 2004 2256.53 48.19
5 Roebers, Eline	NED 2006 2254.28 45.28
6 Beydullayeva, Govhar	AZE 2003 2209.18 52.96
7 Ning, Kaiyu	CHN 2004 2203.89 71.88
8 Savitha Shri B	IND 2007 2195.78 49.65
9 Song, Yuxin	CHN 2005 2185.36 47.91
10 Yip, Carissa	USA 2003 2170.53 67.62
11 Mkrtchyan, Mariam	ARM 2004 2167.50 46.27
12 Kamalidenova, Meruert	KAZ 2005 2158.95 46.61
13 Gaal, Zsoka	HUN 2007 2155.99 45.51
14 Lee, Alice	USA 2009 2150.12 41.45
15 Peycheva, Gergana	BUL 2003 2125.17 51.87
16 Van Foreest, Machteld	NED 2007 2117.06 45.31
17 Krasteva, Beloslava	BUL 2004 2110.68 50.40
18 Rakshitta Ravi	IND 2005 2109.16 49.48
19 Getman, Tatyana	RUS 2003 2106.02 51.84
20 Hrebenshchykova, Yelyzaveta	UKR 2005 2099.75 52.74
21 Bach Ngoc Thuy Duong	VIE 2003 2098.52 59.82
22 Francisco Guecamburu, Candela Be	ARG 2006 2098.40 46.93
23 Toncheva, Nadya	BUL 2005 2089.85 49.08
24 Kurmangaliyeva, Liya	KAZ 2005 2086.17 42.89
25 Balabayeva, Xeniya	KAZ 2005 2078.76 44.21
26 Hryzlova, Sofiia	SUI 2004 2076.86 51.70
27 Kanyamarala, Trisha	IRL 2005 2075.59 53.89
28 Malicka, Maria	POL 2003 2071.67 49.43
29 Lu, Miaoyi	CHN 2010 2067.71 41.80
30 Solozhenkina, Elizaveta	RUS 2003 2062.94 66.69
31 Mehmed, Elif	SRB 2004 2060.12 50.49
32 Yakimova, Mariya	FID 2005 2058.76 52.76
33 Zhang, Xiao	CHN 2003 2057.84 52.65
34 Nurgali, Nazerke	KAZ 2004 2057.66 43.65
35 Jarocka, Liwia	POL 2003 2057.18 52.97
36 Zhurova, Anna	RUS 2005 2056.61 48.83
37 Ziegenfuss, Antonia	GER 2005 2051.20 68.65
38 Nurmanova, Alua	KAZ 2007 2050.40 42.85
39 Lehaci, Miruna-Daria	ROU 2004 2049.91 50.43
40 Sinitsina, Anastassia	EST 2004 2046.01 58.25
41 Sahithi Varshini M	IND 2007 2044.30 39.47
42 Pogorelskikh, Sofia	SRB 2004 2042.92 45.24
43 Mungunzul, Bat-Erdene	MGL 2005 2042.12 70.10
44 Caglar, Sila	TUR 2004 2041.07 54.64
45 Ciolacu, Alessia-Mihaela	ROU 2004 2038.59 56.38
46 Borda Rodas, Anapaola S.	ARG 2004 2037.58 58.95
47 Pipiras, Filipa Fortuna	POR 2005 2036.63 54.35
48 Loskutova, Viktoriya	RUS 2004 2035.20 47.81
49 Kairbekova, Amina	KAZ 2006 2033.89 41.74
50 Omonova, Umida	UZB 2006 2030.74 46.28
51 Shukhman, Anna	FID 2009 2028.49 59.01
52 Wu, Rochelle	USA 2006 2027.32 50.57
53 Zhapova, Yana	FID 2008 2021.42 44.69
54 Miroshnik, Ekaterina	RUS 2003 2021.20 65.37
55 Wikar, Martyna	POL 2005 2020.58 56.35
56 Khamdamova, Afruza	UZB 2009 2018.60 43.79
57 Kleymenova, Valeria	RUS 2008 2013.66 49.26
58 Ricken, Katharina	NED 2004 2010.55 54.20
59 Nur-Mukhametova, Alisa	RUS 2005 2009.61 53.13
60 Eizaguerri Floris, Maria	ESP 2004 2007.36 61.80
61 Nassr, Lina	ALG 2003 2006.03 56.66
62 Ismayil, Malak	AZE 2004 2005.80 56.47
63 Rodriguez Redondo, Adhara	ESP 2004 2004.38 48.99
64 Yan, Ruiyang	USA 2007 2004.26 46.70
65 Shvedova, Alexandra	FID 2008 2002.94 61.38
66 Demchenko, Svitlana	CAN 2003 2001.86 55.48
67 Demeter, Dorina	HUN 2005 2000.56 48.96
68 Hajiyeva, Laman	AZE 2003 1994.71 55.37
69 Salonika, Saina	IND 2003 1993.71 65.47
70 Mohammad Ebrahimkhan Abri, Dorsa	IRI 2004 1990.11 57.78
71 Tang, Zoey	USA 2008 1989.99 45.60
72 Bommini Mounika Akshaya	IND 2003 1988.08 50.75
73 Munkhzul, Davaakhuu	MGL 2006 1987.53 67.71
74 Vishwa Vasnawala	IND 2006 1986.44 64.30
75 Goraj, Barbara	POL 2005 1984.29 57.68
76 Allahverdiyeva, Ayan	AZE 2005 1979.73 51.81
77 Wang, Chuqiao	CHN 2008 1978.79 50.79
78 Nasyrova, Ekaterina	RUS 2005 1978.26 66.54
79 Butenandt, Svenja	GER 2006 1972.64 53.08
80 Hernandez Machado, Patricia M.	CUB 2003 1972.36 52.82
81 Kuznetsova, Marina	RUS 2006 1972.23 51.28
82 Zeliantsova, Kseniya	FID 2005 1967.08 49.05
83 Dubnikova, Anastasia	RUS 2004 1967.04 66.54
84 Bai, Xue	CHN 2003 1964.40 52.99
