Rank Name Federation BirthYear Rating RD
1 Lei, Tingjie	CHN 1997 2466.96 63.47
2 Ju, Wenjun	CHN 1991 2453.46 55.98
3 Goryachkina, Aleksandra	FID 1998 2418.34 47.70
4 Lagno, Kateryna	RUS 1989 2413.24 59.29
5 Kosteniuk, Alexandra	SUI 1984 2392.34 52.26
6 Koneru, Humpy	IND 1987 2390.74 59.46
7 Tan, Zhongyi	CHN 1991 2389.95 50.18
8 Muzychuk, Mariya	UKR 1992 2385.33 53.78
9 Muzychuk, Anna	UKR 1990 2377.79 50.15
10 Shuvalova, Polina	RUS 2001 2367.57 47.56
11 Dzagnidze, Nana	GEO 1987 2365.98 51.54
12 Zhu, Jiner	CHN 2002 2365.89 51.91
13 Dronavalli, Harika	IND 1991 2362.28 50.64
14 Assaubayeva, Bibisara	KAZ 2004 2351.12 50.86
15 Paehtz, Elisabeth	GER 1985 2349.95 51.89
16 Khotenashvili, Bella	GEO 1988 2346.87 54.11
17 Batsiashvili, Nino	GEO 1987 2335.88 48.59
18 Wagner, Dinara	GER 1999 2327.97 49.47
19 Abdumalik, Zhansaya	KAZ 2000 2325.84 59.41
20 Kashlinskaya, Alina	POL 1993 2325.54 55.76
21 Cramling, Pia	SWE 1963 2319.41 59.96
22 Osmak, Yuliia	UKR 1998 2317.40 55.47
23 Sebag, Marie	FRA 1986 2313.51 63.18
24 Arabidze, Meri	GEO 1994 2308.43 52.77
25 Javakhishvili, Lela	GEO 1984 2304.38 53.04
26 Vaishali, Rameshbabu	IND 2001 2298.56 42.96
27 Ushenina, Anna	UKR 1985 2294.54 64.63
28 Efroimski, Marsel	ISR 1995 2293.79 52.75
29 Salimova, Nurgyul	BUL 2003 2292.58 46.32
30 Mammadzada, Gunay	AZE 2000 2291.31 53.22
31 Injac, Teodora	SRB 2000 2284.03 46.15
32 Saduakassova, Dinara	KAZ 1996 2280.53 74.89
33 Gunina, Valentina	FID 1989 2279.52 55.70
34 Bulmaga, Irina	ROU 1993 2278.68 46.92
35 Vantika Agrawal	IND 2002 2275.47 43.09
36 Danielian, Elina	ARM 1978 2273.70 59.43
37 Krush, Irina	USA 1983 2270.05 59.98
38 Pogonina, Natalija	RUS 1985 2269.16 69.65
39 Hoang, Thanh Trang	HUN 1980 2267.68 70.34
40 Pham, Le Thao Nguyen	VIE 1987 2265.38 70.12
41 Roebers, Eline	NED 2006 2263.99 44.44
42 Stefanova, Antoaneta	BUL 1979 2259.49 58.92
43 Matnadze Bujiashvili, Ann	ESP 1983 2257.04 53.78
44 Milliet, Sophie	FRA 1983 2256.39 45.38
45 Girya, Olga	RUS 1991 2255.67 67.61
46 Divya Deshmukh	IND 2005 2255.04 43.68
47 Narva, Mai	EST 1999 2254.92 52.28
48 Mkrtchian, Lilit	ARM 1982 2249.10 63.58
49 Garifullina, Leya	FID 2004 2247.46 48.67
50 Huang, Qian	CHN 1986 2247.43 56.34
51 Atalik, Ekaterina	TUR 1982 2247.34 53.96
52 Vega Gutierrez, Sabrina	ESP 1987 2246.85 53.03
53 Aulia, Medina Warda	INA 1997 2245.71 61.77
54 Socko, Monika	POL 1978 2240.38 48.39
55 Badelka, Olga	FID 2002 2239.57 45.01
56 Kiolbasa, Oliwia	POL 2000 2239.47 47.77
57 Maltsevskaya, Aleksandra	POL 2002 2237.22 51.95
58 Bivol, Alina	FID 1996 2234.53 50.82
59 Melia, Salome	GEO 1987 2230.27 65.08
60 Fataliyeva, Ulviyya	AZE 1996 2230.24 50.62
61 Beydullayeva, Govhar	AZE 2003 2228.51 50.11
62 Tsolakidou, Stavroula	GRE 2000 2222.65 51.60
63 Song, Yuxin	CHN 2005 2219.68 46.04
64 Daulyte-Cornette, Deimante	FRA 1989 2219.03 50.09
65 Guichard, Pauline	FRA 1988 2218.03 48.79
66 Sukandar, Irine Kharisma	INA 1992 2216.56 49.71
67 Xiao, Yiyi	CHN 1996 2214.99 53.09
68 Vo, Thi Kim Phung	VIE 1993 2214.37 55.74
69 Padmini, Rout	IND 1994 2213.82 48.21
70 Cori T., Deysi	PER 1993 2212.75 53.49
71 Guo, Qi	CHN 1995 2212.70 52.80
72 Shvayger, Yuliya	ISR 1994 2209.39 74.02
73 Voit, Daria	RUS 1994 2208.91 46.14
74 Korneva, Marina	RUS 1986 2208.13 60.84
75 Schleining, Zoya	GER 1961 2208.08 69.01
76 Kulkarni Bhakti	IND 1992 2207.52 43.71
77 Zatonskih, Anna	USA 1978 2204.14 58.67
78 Savina, Anastasia	FRA 1992 2203.89 49.62
79 Cyfka, Karina	POL 1987 2202.37 55.20
80 Zawadzka, Jolanta	POL 1987 2200.90 52.65
81 Munguntuul, Batkhuyag	MGL 1987 2198.52 55.86
82 Buksa, Nataliya	UKR 1996 2197.98 48.88
83 Melamed, Tatjana	GER 1974 2197.23 70.65
84 Nomin-Erdene, Davaademberel	MGL 2000 2194.06 61.14
85 Gaponenko, Inna	UKR 1976 2193.24 53.53
86 Mammadova, Gulnar	AZE 1991 2191.57 49.98
87 Balajayeva, Khanim	AZE 2001 2191.49 60.22
88 Xu, Yuanyuan	CHN 1981 2191.08 63.99
89 Babiy, Olga	UKR 1989 2188.87 70.58
90 Gomes, Mary Ann	IND 1989 2188.06 49.58
91 Rapport, Jovana	ROU 1992 2186.76 68.78
92 Tokhirjonova, Gulrukhbegim	USA 1999 2186.05 53.58
93 Yakubbaeva, Nilufar	UZB 2000 2183.94 45.84
94 Kulon, Klaudia	POL 1992 2182.32 43.61
95 Bodnaruk, Anastasia	RUS 1992 2182.06 53.42
96 Kamalidenova, Meruert	KAZ 2005 2180.95 45.45
97 Garcia Martin, Marta	ESP 2000 2180.54 46.60
98 Goltseva, Ekaterina	RUS 2002 2179.50 45.04
99 Houska, Jovanka	ENG 1980 2179.26 69.11
